Movie_name,Movie_Genre,Movie_Certification,Release,Runtime,Lead_Actor,Lead_Actress,Movie_Critic_Rating,Movie_User_Rating,Movie_Synopsis,Movie_Full_Cast
Kannum Kannum Kollaiyadithaal,Thriller,U,28 Feb 2020,2 hrs 2 mins,Dulquer Salmaan,Ritu Varma,3.5,4.3,Desingh Periyasamy displays a flair for this material both in his writing and making.,"Dulquer Salmaan, Ritu Varma, Gautham Vasudev Menon, Niranjani Ahathain"
Oh My Kadavule,Comedy,UA,14 Feb 2020,2 hrs 31 mins,Ashok Selvan,Ritika Singh,3.5,3.4,"Despite some conventional turns, Oh My Kadavule is a refreshing romance.","Ashok Selvan, Ritika Singh, Vani Bhojan"
Psycho,Thriller,A,24 Jan 2020,2 hrs 14 mins,Udhayanidhi Stalin,Aditi Rao Hydari,3.5,3.3,First-rate filmmaking combines with perceptive writing to make 'Psycho' a unique experience.,"Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menen"
Dharala Prabhu,Comedy,UA,13 Mar 2020,2 hrs 2 mins,Harish Kalyan,Tanya Hope,3,3.3,A better background score and more effort on the emotional scenes would have made the movie a perfect remake.,"Harish Kalyan, Tanya Hope, Vivek"
Gypsy,Drama,UA,06 Mar 2020,2 hrs 25 mins,Jiiva,Natasha Singh,3,3.2,"Gypsy which talks about the politicisation of religion, is a film that couldn’t have come out at a better time.","Jiiva, Natasha Singh, Lal Jose, Sunny Wayne"
Baaram,Drama,A,21 Feb 2020,1 hr 32 mins,Ajiith,Adhini,3,3.3,"Baaram is more documentary-ish, with the director stripping away the drama in the plot as much as possible.","Adhini, Ajith"
Mafia: Chapter 1,Drama,UA,21 Feb 2020,2 hrs 2 mins,Arun Vijay,Priya Bhavani Shankar,3,3.2,"Mafia would appeal to fans of action movies, especially those which have stylish narcotics backdrop.","Arun Vijay, Prasanna, Priya Bhavani Sankar"
Seeru,Action,UA,07 Feb 2020,2 hrs 4 mins,Jiiva,Riya Suman,3,3.2,The director keeps the narration engaging with hardly any lull.,"Jiiva, Riya Suman, Sathish, Varun, navdeep"
Vaanam Kottattum,Drama,U,07 Feb 2020,2 hrs 18 mins,Vikram Prabhu,Aishwarya Rajesh,3,3.2,"Vaanam Kottatum is what you would get if a relationship drama with an ensemble cast, like Namma Veettu Pillai or Kadaikutty Singam, gets the Mani Ratnam treatment.","Vikram Prabhu, Aishwarya Rajesh, Madonna Sebastian, R. Sarathkumar, Radikaa Sarathkumar"
Darbar,Action,UA,09 Jan 2020,2 hrs 40 mins,Rajinikanth,Nayanthara,3,3.3,A commercial cocktail of action and drama,"Rajinikanth, Nayanthara, Prateik Babbar, Suniel Shetty, Nivetha Thomas, Yogi Babu, Thambi Ramaiah, Jatin Sarna, Nawab Shah, Dalip Tahil"
Penguin,Drama,UA,19 Jun 2020,2 hrs 12 mins,,Keerthy Suresh,2.5,2.8,"A pregnant woman goes in search of her first child, who has been missing for six years.","Keerthy Suresh, Mukhyamantri Chandru, Ragini Chandran, Siri Prahlad"
Velvet Nagaram,Thriller,U,06 Mar 2020,2 hrs 2 mins,,Varalaxmi Sarathkumar,2.5,2.9,The major positive aspect of the film is the realistic performances of all the artistes.,"Varalaxmi Sarathkumar, Prakash Raghavan, Kannan Ponnaiyah, Kasthuri Shankar, Madhan Kumar, Malavika Sundar"
Draupathi,Drama,UA,28 Feb 2020,2 hrs 39 mins,Nishanth,,2.5,2.9,The film isn’t as explosive as its trailer portrayed it to be.,"Nishanth, Richard Rishi, Aaru Bala, Jeeva Ravi, Karunas, Sheela"
God Father,Action,U,21 Feb 2020,2 hrs 2 mins,Natarajan Subramaniam,Ananya,2.5,2.9,"Godfather isn’t exactly a letdown, but it certainly doesn’t live up to the promise of its juicy premise.","Natarajan Subramaniam, Ananya, Lal, Ashwanth Ashokkumar, G. Marimuthu"
Naan Sirithal,Drama,U,14 Feb 2020,2 hrs 19 mins,Hiphop Tamizha,Iswarya Menon,2.5,2.9,Most of the comedy scenes fall flat and you don’t get enough reasons to empathise with the protagonist’s condition.,"Hiphop Tamizha, Iswarya Menon, K.S. Ravikumar, Munishkanth, Badava Gopi"
Naadodigal 2,Drama,UA,31 Jan 2020,2 hrs 16 mins,Sasikumar,Anjali,2.5,2.9,Naadodigal-2 often sacrifices story to drive home its message.,"M. Sasikumar, Anjali, Athulya Ravi, bharani"
Rajavukku Check,Drama,UA,24 Jan 2020,2 hrs 9 mins,Cheran,Srushti Dange,2.5,2.9,A half-decent thriller that fails to live up to the potential of its plot.,"Cheran, Srushti Dange, Nandana Varma, Sarayu"
Pattas,Action,U,15 Jan 2020,2 hrs 15 mins,Dhanush,Mehreen Pirzada,2.5,2.9,A formulaic action drama that is predictable from start to finish.,"Dhanush, Mehreen Pirzada, Naveen Chandra, Sneha, Munishkanth"
Ponmagal Vandhal,Drama,UA,29 May 2020,Nan,Parthiban,Jyothika,2,2.6,Ponmagal Vandhal is an unapologetic message movie in the guise of a courtroom drama and banks solely on the crusader zeal of its lead star to help it get a favourable verdict from the audiences.,"Jyothika, K. Bhagyaraj, Prathap Pothen, Parthiban Radhakrishnan, Pandiarajan, Vidya Pradeep, Akshara Kishor"
Walter,Action,UA,13 Mar 2020,2 hrs 2 mins,Sibi Sathyaraj,Shirin Kanchwala,2,2.7,Walter is a cat-and-mouse cop story between a sincere cop and a well-reputed person in the society.,"Sibi Sathyaraj, Gautham Vasudev Menon, Shirin Kanchwala, Charlie, Munishkanth"
College Kumar,Drama,U,06 Mar 2020,1 hr 57 mins,Rahul Vijay,Priya Vadlamani,2,2.7,"The lack of impactful emotional scenes, clichéd sequences, absence of nativity and an unappealing screenplay spoil the plot.","Rahul Vijay, Priya Vadlamani, Prabhu, Madhu Raghunath, Manobala, Nasser"
Meendum Oru Mariyadhai,Drama,UA,21 Feb 2020,2 hrs 2 mins,,,2,2.7,,"P. Bharathiraja, Mounika, Nakshatra, Joe Malloori"
Kanni Maadam,Drama,UA,21 Feb 2020,2 hrs 12 mins,Sriram karthick,Gayathri,2,2.7,The film showcases the agony faced by those who suffer because of caste pride realistically.,"Sriram Karthick, Gayathri, Saya Devi"
Adavi,Drama,UA,07 Feb 2020,2 hrs 26 mins,Vinoth Kishan,Ammu Abirami,2,2.7,"The dated filmmaking, with earnest but raw performances, and the overly melodramatic treatment ensure that we are never emotionally touched.","Vinoth Kishan, Ammu Abirami"
Dagaalty,Drama,UA,31 Jan 2020,2 hrs 10 mins,Santhanam,Rithika Sen,2,2.6,"Dagaalty, tests our patience, thanks to underwritten characters and a hardly engaging screenplay which has some bizarre moments.","Santhanam, Yogi Babu, Rittika Sen, Radha Ravi, Hemant Pandey, Manobala, Santhana Bharathi, Tarun Arora"
Maayanadhi,Drama,UA,31 Jan 2020,2 hrs 10 mins,Abi Saravanan,Aditi Menon,2,2.6,"Maayanadhi is the tale of a doting father and her daughter, who aspires to become a doctor.","Abi Saravanan, Appukutty, Venba, Aadukalam Naren, Adhiti Menon"
Taana,Action,U,24 Jan 2020,2 hrs 3 mins,Vaibhav Reddy,Nandita Swetha,2,2.6,Taana has nothing new to offer except for another disorder-based characterisation created for its protagonist.,"Vaibhav Reddy, Nandita Swetha, Yogi Babu, Hareesh Peradi, Pandiarajan"
Asuraguru,Action,UA,13 Mar 2020,2 hrs 2 mins,Vikram Prabhu,Mahima Nambiar,1.5,2.3,The film lacks the required elements one expects from movies which belong to the genre.,"vikram prabhu, Mahima Nambiar, Yogi Babu, Manobala, subbaraju"
Irumbu Manithan,Drama,U,28 Feb 2020,2 hrs 13 mins,Santhosh Prathap,Anitha Sampath,1.5,2.4,"There is definitely a heartwarming tale buried in this plot, but director Disney's writing is unimaginative.","Santhosh Prathap, Ganja Karuppu, Madhusudhan Rao, Anitha Sampath"
Indha Nilai Maarum,Drama,U,06 Mar 2020,1 hr 40 mins,,,1,1.8,The plot sounds so bizarre and unamusing that you become uninterested in the further proceedings.,"Lakshmy Ramakrishnan, Delhi Ganesh, Y. G. Mahendran, Ashwin Kumar, Santhana Bharathi, Chaams, T.M. Karthik Srinivasan"
Sillu Karuppatti,Drama,UA,27 Dec 2019,2 hrs 2 mins,Samuthirakani,Sunainaa,4,3.8,Sillu Karuppatti tries to define love and leaves us smiling and feeling.,"P. Samuthirakani, Sunainaa, Sara Arjun, Nivedhithaa Sathish, Leela Samson"
Karuppu Durai,Drama,UA,21 Nov 2019,0 hrs 0 mins,Mu Ramaswamy,,4,3.8,"A feel-good, and at times bittersweet, film that is one of the year’s sweet surprises.",Mu Ramaswamy
Game Over,Drama,UA,14 Jun 2019,1 hr 43 mins,,Taapsee Pannu,4,3.8,There are many layers to the film – both psychological and ‘spirit’ual – and these moments are what make this film interesting.,"Taapsee Pannu, Vinodhini, Ramya Subramanian, Sanchana Natarajan"
Super Deluxe,Drama,A,29 Mar 2019,2 hrs 56 mins,Vijay Sethupathi,Samantha Ruth Prabhu,4,4.3,"Super Deluxe is filled with ambition, genius, and also a beating heart.","Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu, Ramya Krishnan, Mysskin"
To Let,Family,U,21 Feb 2019,1 hr 39 mins,Santhosh Sreeram ,Sheela Raj Kumar,4,4.1,To Let manages to hold you in its grip and provides a moving experience.,"Santhosh Sreeram, Sheela Raj Kumar, Dharun Bala"
Peranbu,Drama,UA,01 Feb 2019,2 hrs 27 mins,Samuthirakani,Anjali,4,4.6,,"Mammootty, P. Samuthirakani, Anjali, Livingstone"
Hero,Action,U,20 Dec 2019,2 hrs 44 mins,Sivakarthikeyan,Kalyani Priyadharshan,3.5,3.3,A superhero origin story that is also a spiritual sequel to Shankar’s Gentleman.,"Sivakarthikeyan, Kalyani Priyadarshan, Abhay Deol, Arjun Sarja"
Irandam Ulagaporin Kadaisi Gundu,Drama,U,06 Dec 2019,2 hrs 2 mins,Dinesh,Anandhi,3.5,3.3,Irandam Ulagaporin Kadaisi Gundu is the story of an individual told with a global perspective.,"Dinesh, Anandhi, Riythvika, John Vijay"
Adithya Varma,Drama,A,21 Nov 2019,2 hrs 48 mins,Dhruv Vikram,Banita Sandu,3.5,3.3,"The film is as intense as the original, with a lead performance that suggests that we might be witnessing the birth of a star.","Dhruv Vikram, Banita Sandhu, Priya Anand, Leela Samson"
Kaithi,Action,UA,25 Oct 2019,2 hrs 27 mins,Karthi Narain,,3.5,3.5,"Kaithi is a tense, impressively shot action thriller.","Karthi, Narain, Dheena, Hareesh Peradi"
Asuran,Action,UA,04 Oct 2019,2 hrs 20 mins,Dhanush,Manju Warrier,3.5,3.5,Vetri Maaran delivers yet another solid action drama that keeps us engrossed from start to finish,"Dhanush, Manju Warrier, Prakash Raj, Pasupathy, Yogi Babu, Aadukalam Naren, Guru Somasundaram, Balaji Sakthivel, Thalaivasal Vijay"
Bailwaan,Action,UA,12 Sep 2019,2 hrs 38 mins,Kichcha Sudeepa,Akanksha Singh,3.5,3.4,"Pailwaan brings in all the needed masala elements, with comedy, romance, fights and emotions added in generous amounts.","Kichcha Sudeepa, Suniel Shetty, Aakanksha Singh"
Magamuni,Crime,UA,06 Sep 2019,2 hrs 2 mins,Arya,Mahima Nambiar,3.5,3.4,"Magamuni is a worthy follow-up to Santhakumar’s debut film, Mouna Guru.","Arya, Mahima Nambiar, Bala Singh, Ilavarasu, V. Jayaprakash, Indhuja"
Nerkonda Paarvai,Drama,UA,08 Aug 2019,2 hrs 38 mins,Ajith Kumar,Shraddha Srinath,3.5,3.5,"With arresting performances of artistes and an engaging screenplay which touch upon a sensitive issue, H Vinoth manages to stay true to the original version.","Ajith Kumar, Shraddha Srinath, Andrea Tariang, Arjun Chidambaram, Adhik Ravichandran, Sujith Shankar, Delhi Ganesh"
Aadai,Drama,A,20 Jul 2019,2 hrs 2 mins,,Amala Paul,3.5,3.3,Aadai is a compelling watch which breaks a few stereotypes and offers an engaging experience.,"amala paul, Vivek Prasanna, Ramya Subramanian, Adiraj"
Jiivi,Drama,U,28 Jun 2019,2 hrs 2 mins,Vetri,Monica Chinnakotla,3.5,3.4,Jiivi is one of the memorable thrillers of the year.,"Vetri, Monica chinnakotla, Karunakaran, Mime Gopi, Rohini"
House Owner,Action,U,28 Jun 2019,2 hrs 33 mins,Kishore Kumar,,3.5,3.4,"The flow of the sequences here is generic and unpredictable, making it difficult for one to judge the genre of the film.","Kishore Kumar G., Lovelyn Chandrasekhar, Sriranjani"
Pakkiri,Adventure,UA,21 Jun 2019,1 hr 41 mins,Dhanush,,3.5,3.4,"The lighthearted treatment keeps Pakkiri entertaining, but you wish it were more whimsical.","Dhanush, Erin Moriarty, Barkhad Abdi, Berenice Bejo, Gerard Jugnot, Abel Jafri, Ben Miller"
Kolaigaran,Action,UA,07 Jun 2019,1 hr 50 mins,Vijay Antony,Ashima Narwal,3.5,3.5,Andrew Louis manages to come up with a solid thriller taking the core idea of the Japanese novel The Devotion Of Suspect X.,"Arjun Sarja, Vijay Antony, Ashima Narwal, Nassar, Seetha, Bagavathi Perumal, Ram Sampath"
Monster,Comedy,U,17 May 2019,2 hrs 19 mins,SJ Suryah,Priya Bhavani Shankar,3.5,3.4,"Monster’s simple concept is elevated by inventive storytelling, credible performances and proficient technical work.","S. J. Suryah, Priya Bhavani Sankar, Karunakaran"
Uriyadi 2,Action,U,05 Apr 2019,1 hr 59 mins,Vijay Kumar,Vismaya,3.5,3.4,"If Uriyadi was an action thriller, Uriyadi 2 feels more like a disaster movie.","Vijay Kumar, Vismaya, Sudhakar"
Thadam,Crime,UA,01 Mar 2019,2 hrs 18 mins,Arun Vijay,Tanya Hope,3.5,3.7,Thadam has an intriguingly written flow of events which begins from the pre-interval point and maintains the suspense factor till the end.,"Arun Vijay, Yogi Babu, Vidya Pradeep, Tanya Hope"
LKG,Comedy,U,22 Feb 2019,2 hrs 4 mins,RJ Balaji,Priya Anand,3.5,3.5,LKG is mostly a satisfying political satire and inarguably the best among the recent crop of political films.,"RJ Balaji, Priya Anand, J. K. Rithesh, Nanjil Sampath"
Sarvam Thaala Mayam,Musical,U,01 Feb 2019,2 hrs 11 mins,GV Prakash Kumar,Aparna Balamurali,3.5,3.5,The narrative of Sarvam Thaala Mayam is fleet-footed and doesn’t let the seriousness of its themes weigh the film down.,"G. V. Prakash Kumar, Aparna Balamurali, Nedumudi Venu, Vineeth"
Petta,Drama,UA,10 Jan 2019,2 hrs 52 mins,Rajinikanth,Simran,3.5,3.6,"Petta is less of a Karthik Subbaraj film, but it gives Rajini fans their Thalaivar in a way that they have been dying to see him, celebrating the Rajinisms.","Rajinikanth, Simran, vijay sethupathi, Malavika Mohanan, Nawazuddin Siddiqui, Trisha Krishnan, M. Sasikumar, Sananth Reddy, Megha Akash"
Pancharaaksharam,Thriller,U,27 Dec 2019,2 hrs 32 mins,Santhosh Prathap,Madhu Shalini,4.5,4.2,Pancharaaksharam is the kind of film that surprises by simply by being an engaging watch.,"Santhosh Prathap, Ashwin Jerome, Madhu Shalini, Sana Althaf, Gokul"
Thambi,Action,UA,20 Dec 2019,2 hrs 29 mins,Karthik,Jyothika,3,3.3,A tighter screenplay with more emotional connect would have done wonders.,"Karthik, Jyothika, Nikhila Vimal, Anson Paul, Sathyaraj, Sowcar Janaki"
Champion,Drama,UA,13 Dec 2019,1 hr 49 mins,Vishwa,Mrinalini,3,3.2,Champion is engaging for the most part even if its storyline is a familiar one.,"Vishwa K, V. Jayaprakash, Narain, Mirnalini, Manoj Bharathiraja"
Kaalidas,Biography,UA,13 Dec 2019,2 hrs 2 mins,Bharath,Ann Sheetal,3,3.2,"The movie has the required elements of a suspense thriller and the performance of lead artistes, too, elevate the decent script.","Bharath, Ann Sheetal, Aadhav Kannadasan, Suresh Chandra Menon"
Bigil,Sports,UA,25 Oct 2019,2 hrs 59 mins,Vijay,Nayanthara,4,4.3,"Though it lacks depth and is overlong, Bigil proves to be an engaging entertainer.","Vijay, Nayanthara, Jackie Shroff, Kathir, Vivek, Yogi Babu"
Pariyerum Perumal,Drama,U,28 Sep 2018,2 hrs 35 mins,Kathir,Anandhi,4,4.5,Pariyerum Perumal is a hard-hitting anti-caste drama.,"Kathir, Anandhi, Yogi Babu"
Nadigayar Thilakam,Biography,U,09 May 2018,2 hrs 56 mins,Dulquer Salmaan,Keerthy Suresh,4,4.3,To call ‘Nadigaiyar Thilagam’ a celebration of Savitri’s life would be an understatement.,"Keerthy Suresh, Dulquer Salmaan, Vijay Deverakonda, Naga Chaitanya Akkineni, Samantha Ruth Prabhu, prakash raj, Anushka Sethi, Shalini Pande"
Kanaa,Sports,U,21 Dec 2018,2 hrs 15 mins,Sivakarthikeyan,Aishwarya Rajesh,3.5,3.5,Kanaa is a crowdpleasing sports movie that also doubles up as a message movie on farmers and their issues.,"Sathyaraj, Aishwarya Rajesh, Ilavarasu, Munishkanth, Blade Shankar"
KGF,Action,UA,21 Dec 2018,2 hrs 35 mins,Yash,Srinidhi Shetty,3.5,3.6,"While there is a sense of temporary closure in 'KGF: Chapter 1', one also leaves the hall yearning for more. KGF surely seems to have delivered what it set to achieve.","Yash, Srinidhi Shetty, Achyuth Kumar, Malavika Avinash, Anant Nag, Srinivasa Murthy, Ninasam Ashwath"
Seethakaathi,Drama,U,20 Dec 2018,2 hrs 53 mins,Vijay Sethupathi,Parvatii Nair,3.5,3.4,"Balaji Tharaneetharan’s Seethakaathi is a film that is artsy and also entertaining, with a fine performance from Vijay Sethupathi.","vijay sethupathi, Parvatii Nair, Remya Nambeesan, Sunil K Reddy, Bagavathi Perumal, Karunakaran, Gayathrie"
Kaatrin Mozhi,Drama,U,16 Nov 2018,2 hrs 28 mins,,Jyothika,3.5,3.3,This remake of Tumhari Sulur is an engaging entertainer that manages to retain the spirit of the original.,"jyothika, Vidhaarth, Lakshmi Manchu, M. S. Bhaskar, Manobala"
Vada Chennai,Crime,A,17 Oct 2018,2 hrs 46 mins,Dhanush,Samantha Ruth Prabhu,3.5,3.5,The sprawling nature of the narrative and the various events that impact the lives of the numerous characters make Vada Chennai truly an epic.,"Dhanush, Samantha Ruth Prabhu, Amala Paul, Daniel Balaji, Aishwarya Rajesh, Andrea Jeremiah, Ameer Sultan, P. Samuthirakani, Karunas, Pavan"
Ratchasan,Thriller,UA,05 Oct 2018,2 hrs 32 mins,Vishnu Vishal,Amala Paul,3.5,3.8,"Ratsasan is a competent thriller, for the most part. There is a tautness to the storytelling, especially until the interval block, that keeps us hooked.","Vishnu Vishal, Amala Paul, Kaali Venkat, Munishkanth"
96,Romance,U,04 Oct 2018,2 hrs 37 mins,Vijay Sethupathi,Trisha Krishnan,3.5,3.6,96 taps into nostalgia to leave us with a high that only happy associations with our past can evoke.,"Vijay Sethupathi, Trisha Krishnan"
Chekka Chivantha Vaanam,Crime,UA,27 Sep 2018,2 hrs 24 mins,Aravind Swamy,Jyothika,3.5,3.6,Mani Ratnam gives us a delicious twist on The Godfather with Chekka Chivantha Vaanam.,"silambarasan, jyothika, vijay sethupathi, Arvind Swami, Arun Vijay, Aditi Rao Hydari, Prakash Raj, Jayasudha, Mansoor Ali Khan, Aishwarya Rajesh, Dayana Erappa"
Annanukku Jey,Comedy,U,31 Aug 2018,1 hr 51 mins,Dinesh,Mahima Nambiar,3.5,3.2,"Despite the premise offering the opportunity to narrate this story as a gritty action drama, Rajkumar chooses to tell it in a lighter, satirical vein.","Dinesh, Mahima Nambiar, Vetri Maaran, Radha Ravi, RJ Balaji, Mayilsamy"
Imaikkaa Nodigal,Thriller,UA,30 Aug 2018,2 hrs 50 mins,Atharvaa Murali,Nayanthara,3.5,3.5,"Apart from a few make-believe scenes, the director manages to keep the twists unpredictable and the thrill factor engaging till the end.","Nayanthara, Atharvaa Murali, Anurag Kashyap, Rashi Khanna, Devan"
Merku Thodarchi Malai,Drama,UA,24 Aug 2018,2 hrs 2 mins,Antony,Gayathri,3.5,3.2,The film ends with a bang (even while the filmmaking remains low-key) even as it subtly delivers its message - how development also leads to the destruction of a way of life and a community.,"Antony, Gayathri Krishna, Abu Valayankulam, Anthony vathiyar"
Kolamaavu Kokila,Comedy,UA,17 Aug 2018,2 hrs 20 mins,Yogi Babu,Nayanthara,3.5,3.5,"The film is an out-and-out star vehicle that keeps giving its star whistle-worthy moments. And most remarkably, it manages to stay true to its genre and ensures that the script comes before the star.","Nayanthara, Saranya Ponvannan, Yogi Babu, Rajendran"
Kaala,Action,UA,07 Jun 2018,2 hrs 46 mins,Rajinikanth,Huma Qureshi,3.5,3.6,Kaala is a 51% Rajini - 49% Ranjith movie and would be remembered as one of the best climaxes in a Rajinikanth movie.,"Rajinikanth, Huma Qureshi, P. Samuthirakani, Nana Patekar, Sayaji Shinde, Anjali Patil, Pankaj Tripathi, Aravind Akash, Sukanya, Manikandan, RJ Ramesh Thilak, Sakshi Aggarwal, Dileepan, Eswari Rao, Yatin Karyekar, Vishal Saroye"
Iravukku Aayiram Kangal,Action,UA,11 May 2018,2 hrs 1 min,Arulnithi,Mahima Nambiar,3.5,3.5,The major attraction of the film is its two hours duration and racy screenplay.,"Arulnithi, Mahima Nambiar, Ajmal Ameer, Anandaraj"
Savarakathi,Drama,U,09 Feb 2018,1 hr 54 mins,Mysskin,,3.5,3.3,"The film could have been a thriller, but Mysskin turns into a black comedy, and thus, makes it distinctive.","Mysskin, Shamna Kasim Poorna, Ram Pothineni"
